company,sector,subsector,round,amount_m,valuation_m,lead_investors,other_investors,date,location,quarter,year,robotnik_notes,source
USA Rare Earth,Materials,Rare Earths & Critical Minerals,Government,277,,US Dept of Commerce CHIPS Act,,2026-01-15,"USA (Stillwater, OK)",1Q26,2026,Mine-to-magnet integration; targeting 12 critical minerals including gallium and yttrium.,https://nist.gov
Humans&,Robotics,Humanoid & Service Robots,Seed,480.0,4480.0,"SV Angel, Georges Harik","NVIDIA, Jeff Bezos, GV (Google Ventures), Emerson Collective, Forerunner, S32, DCVC, Human Capital, Felicis, CRV, 500 Global",2026-01-20,USA,1Q26,2026,Stealth AI company founded by former Google DeepMind researchers focused on embodied AI and physical intelligence. $480M seed is extraordinarily large — among the biggest seed rounds ever. SV Angel and Georges Harik as leads suggest deep Silicon Valley insider backing. Watch for product reveal and first demonstration of capabilities.,https://techcrunch.com/2026/01/20/humans-a-human-centric-ai-startup-founded-by-anthropic-xai-google-alums-raised-480m-seed-round/
PsiBot,Robotics,Humanoid & Service Robots,Series A,280,,Chinese VCs,,2026-01-20,China,1Q26,2026,Humanoid robotics startup building general-purpose humanoids for manufacturing.,https://techcrunch.com
SpinQ Technology,Semiconductors,Frontier Compute,Series C,145,,Guotai Junan Innovation Investment,"Cornerstone Capital, Sichuan Zhenxing Group",2026-01-21,China (Shenzhen),1Q26,2026,Full-stack quantum solutions provider with superconducting and NMR hardware. Systems deployed in 40 countries. Superconducting business now 65% of revenue with 80% YoY order growth in Q1 2026.,https://thequantuminsider.com/2026/01/21/spinq-closes-series-c-round-as-chinese-quantum-firm-pushes-commercial-expansion/
Zipline,Robotics,Autonomous Systems & Drones,Undisclosed,600.0,7600.0,Valor Equity Partners,"Fidelity Management & Research, Baillie Gifford, Tiger Global",2026-01-22,"USA (South San Francisco, CA)",1Q26,2026,Drone logistics company operating autonomous delivery networks in multiple countries. $600M at undisclosed round from Valor Equity Partners continues Zipline's massive capital accumulation; one of the most well-funded robotics companies globally. Competes with Amazon (AMZN) Prime Air and Wing (Alphabet GOOGL). Watch for US suburban delivery expansion and regulatory approvals.,https://techcrunch.com/2026/01/21/zipline-charts-drone-delivery-expansion-with-600m-in-new-funding/
Neurophos,Semiconductors,Frontier Compute,Series A,110,,Gates Frontier,"M12 (Microsoft), Carbon Direct Capital, Aramco Ventures, Bosch Ventures, Tectonic Ventures, Space Capital",2026-01-22,"USA (Austin, TX)",1Q26,2026,"Photonic AI accelerator using proprietary micron-scale metamaterial optical modulators (10,000x smaller than existing). Claims 300 TOPS/W, far exceeding GPU baselines. Total funding $118M.",https://techcrunch.com/2026/01/22/from-invisibility-cloaks-to-ai-chips-neurophos-raises-110m-to-build-tiny-optical-processors-for-inferencing/
Hadrian,Robotics,Industrial Robots,Undisclosed,,,,,2026-01-25,"USA (Los Angeles, CA)",1Q26,2026,Precision manufacturing startup using AI and automation for aerospace and defence parts. Hadrian is heavily stealth; Founders Fund backing suggests high conviction. Competes with traditional aerospace machine shops and Relativity Space in automated manufacturing. Watch for factory expansion and DoD supply chain contracts.,https://hadrian.co/news
StepFun,Robotics,Software & Simulation,Series B,718.0,,Shanghai SDIC Leading Fund,"China Life Private Equity, Pudong Venture Capital, Xuhui Capital, Wuxi Liangxi Fund, Xiamen ITG Group, Huaqin Technology, Tencent, Qiming Venture Partners, 5Y Capital",2026-01-26,China (Shanghai),1Q26,2026,"Chinese AI lab developing large language and multimodal models. $718M Series B from Shanghai SDIC reflects massive state-backed capital flowing into Chinese AI champions. Competes with Moonshot AI, ByteDance, and Baidu (BIDU) in Chinese foundation model race. Watch for API monetisation and enterprise deployment traction.",https://www.caixinglobal.com/2026-01-26/stepfun-raises-717-million-outpacing-newly-listed-ai-rivals-102408206.html
Ricursive Intelligence,Semiconductors,EDA & IP,Series A,300,4000,Lightspeed Venture Partners,"NVentures (Nvidia), DST Global, Felicis Ventures",2026-01-26,USA (San Francisco),1Q26,2026,"Founded by ex-DeepMind AlphaChip creators, building AI-driven semiconductor design platform that creates a recursive self-improvement cycle where AI designs silicon that powers the next generation of AI.",https://www.datacenterdynamics.com/en/news/ricursive-intelligence-raises-300m-against-4bn-valuation-for-ai-chip-design-platform/
Northwood Space,Space,Ground Systems & Antennas,Series B,100,,"Washington Harbour Partners, a16z",,2026-01-27,USA (El Segundo),1Q26,2026,Next-gen ground station infrastructure for satellite communications + $49.8M Space Force contract.,https://techcrunch.com
RobCo,Token,Industrial Robots,Series C,100.0,,,,2026-01-28,USA,1Q26,2026,"Develops easy-to-deploy robotic automation for small manufacturers using modular robot cells. $100M Series C is strong for SME-focused industrial robotics. Competes with Universal Robots (Teradyne TER), FANUC (6954 JP), and Formic in accessible automation. Watch for channel partnerships and European expansion from US base.",https://www.therobotreport.com/robco-raises-100m-series-c/
Waabi,Robotics,Autonomous Systems & Drones,Series C,750.0,,"Khosla Ventures, G2 Venture Partners","Uber ($250M milestone-based), NVentures (NVIDIA), Volvo Group Venture Capital, Porsche Automobil Holding, BlackRock, Radical Ventures, ADIA subsidiary, HarbourVest Partners, Incharge Capital",2026-01-28,"Canada (Toronto, ON)",1Q26,2026,"Autonomous trucking company building AI-powered self-driving systems for Class 8 freight. $750M Series C co-led by Khosla and G2 is one of the largest AV raises. Competes with Aurora (AUR), Waymo (GOOGL), and Gatik. Founded by Uber ATG's former chief scientist. Watch for commercial route launches and OEM partnerships.",https://www.cnbc.com/2026/01/28/autonomous-startup-waabi-raises-750-million-to-expand-into-robotaxis.html
Nomagic,Robotics,Warehouse & Logistics Automation,Series B (extension),10.0,,,,2026-01-28,Poland (Warsaw),1Q26,2026,"Polish warehouse robotics company specialising in pick-and-place automation for e-commerce fulfilment. $10M Series B extension is modest but extends runway. Competes with RightHand Robotics, Covariant, and Berkshire Grey. Watch for European e-commerce customer expansion.",https://nomagic.ai/news/series-b-extension
Konnex,Robotics,Software & Simulation,Series A,15.0,,Cogitent Ventures,"Liquid Capital, Leland Ventures, Covey, LD Capital, M77 Ventures, Block Maven, Framework Ventures",2026-01-31,USA,1Q26,2026,"Connected worker platform integrating IoT with frontline manufacturing operations. $15M Series A from Cogitent Ventures. Competes with Tulip Interfaces, PTC, and Augmentir in connected worker space. Watch for enterprise customer wins and platform feature expansion.",https://siliconangle.com/2026/01/15/konnex-nabs-15m-decentralize-autonomous-robotic-labor/
Waymo,Robotics,Autonomous Systems & Drones,Series D,16000.0,126000.0,"Dragoneer Investment Group, DST Global, Sequoia Capital","Andreessen Horowitz, Mubadala Capital, Bessemer, Silver Lake, Tiger Global, T. Rowe Price, BDT & MSD Partners, CapitalG, Fidelity, GV, Kleiner Perkins, Perry Creek Capital, Temasek",2026-02-02,"USA (Mountain View, CA)",1Q26,2026,"Alphabet's autonomous vehicle subsidiary operating commercial robotaxi services. $16B Series D is the largest single autonomous driving raise in history; led by Dragoneer, DST, and Sequoia. Competes with Tesla (TSLA) FSD, Cruise (GM), and Chinese players (Baidu Apollo, Pony.ai). Watch for geographic expansion and revenue trajectory toward profitability.",https://techcrunch.com/2026/02/02/waymo-raises-16-billion-round-to-scale-robotaxi-fleet-london-tokyo/
Cerebras Systems,Semiconductors,Fabless Design,Series H,1000.0,23000.0,Tiger Global,"Benchmark, Fidelity, AMD, Coatue, Atreides Management, Alpha Wave Global, Altimeter, 1789 Capital",2026-02-04,"USA (Sunnyvale, CA)",1Q26,2026,"Wafer-scale AI chip company building the CS-3 processor for training and inference. $1B Series H from Tiger Global pushes valuation significantly higher. Competes with NVIDIA (NVDA), AMD (AMD), and Google (GOOGL) TPU. Watch for hyperscaler deployment announcements and IPO timeline.",https://www.cerebras.ai/press-release/cerebras-systems-raises-usd1-billion-series-h
Positron,Semiconductors,Fabless Design,Series B,230.0,1000.0,"ARENA Private Wealth, Jump Trading, Unless","Qatar Investment Authority, Arm Holdings, Helena, Valor Equity Partners, Atreides Management, DFJ Growth, Resilience Reserve, Flume Ventures, 1517",2026-02-04,"USA (Reno, NV)",1Q26,2026,"Designs AI inference chips using photonic computing architecture. $230M Series B is large for photonic compute. Competes with Lightmatter, NVIDIA (NVDA), and other optical AI chip startups. Watch for first customer deployments and power efficiency benchmarks.",https://techcrunch.com/2026/02/04/exclusive-positron-raises-230m-series-b-to-take-on-nvidias-ai-chips/
Bedrock Robotics,Robotics,Industrial Robots,Series B,270.0,1750.0,"CapitalG, Valor Atreides AI Fund","Xora, 8VC, Eclipse, Emergence Capital, Perry Creek Capital, NVentures (NVIDIA), Tishman Speyer, MIT, Georgian, Incharge Capital, C4 Ventures",2026-02-04,"USA (San Francisco, CA)",1Q26,2026,"AI-powered industrial robotics company building autonomous systems for heavy manufacturing. $270M Series B co-led by CapitalG and Valor Atreides is massive for industrial robotics. Competes with FANUC (6954 JP), ABB (ABBN SW), and Veo Robotics. Watch for Fortune 500 manufacturer deployments and revenue trajectory.",https://www.prnewswire.com/news-releases/bedrock-robotics-raises-270-million-in-series-b-funding-302679014.html
Stoke Space,Space,Launch,Series D (extension),350.0,,,,2026-02-10,"USA (Kent, WA)",1Q26,2026,"Extension of Stoke Space's Oct-25 Series D, adding $350M to the original $510M (total $860M). Positions Stoke with $1.34B total raised for fully reusable Nova rocket development. Competes with Rocket Lab (RKLB) and SpaceX. Watch for first Nova flight test — key de-risking milestone.",https://spacenews.com/stoke-space-adds-350-million-to-series-d-round/
Olix Computing,Semiconductors,Fabless Design,Series A,220.0,1000.0,Hummingbird Ventures,"Plural, Vertex Ventures, LocalGlobe, Entrepreneurs First",2026-02-11,UK (London),1Q26,2026,"UK-based AI chip company designing custom silicon for large-scale AI training. $220M Series A from Hummingbird Ventures is exceptionally large for a UK-based Series A chip startup. Competes with NVIDIA (NVDA), Graphcore, and Cerebras. Watch for first tapeout and hyperscaler design win.",https://techfundingnews.com/olix-220m-unicorn-photonic-ai-chips-inference/
Apptronik,Robotics,Humanoid & Service Robots,Series A (extension),520.0,5500.0,"B Capital, Google, Mercedes-Benz","AT&T Ventures, John Deere, Qatar Investment Authority, PEAK6",2026-02-11,"USA (Austin, TX)",1Q26,2026,"Humanoid robotics company building Apollo general-purpose humanoid for warehouse and manufacturing. $520M Series A extension with B Capital, Google, and Mercedes-Benz is transformative — Mercedes partnership signals automotive industry pull. Competes with Figure AI, Tesla (TSLA) Optimus, 1X Technologies, and Agility Robotics. Watch for Mercedes factory pilot and first revenue-generating deployments.",https://www.cnbc.com/2026/02/11/apptronik-raises-520-million-at-5-billion-valuation-for-apollo-robot.html
Aalyria,Space,Satellite Communications,Series B,100.0,1300.0,"Battery Ventures, J2 Ventures",DYNE,2026-02-12,"USA (Livermore, CA)",1Q26,2026,"Laser-based free-space optical communication network for satellite and terrestrial connectivity. $100M Series B from Battery Ventures and J2 Ventures; spun out from Google's Project Loon. Competes with Mynaric (MYNA GR), CACI International, and traditional RF satellite links. Watch for DoD contracts and constellation customer adoption.",https://www.cnbc.com/2026/02/23/google-spinout-aalyria-valued-at-1point3-billion-in-100-million-round.html
Tomorrow.io,Space,Earth Observation,Series F,175.0,,,,2026-02-12,"USA (Boston, MA)",1Q26,2026,Weather intelligence company operating proprietary satellite constellation for hyper-local weather prediction. $175M Series F is strong for weather-tech. Competes with traditional weather services and Spire Global (SPIR) in satellite weather. Watch for satellite constellation completion and enterprise analytics revenue growth.,https://tomorrow.io/news/series-f
Axiom Space,Space,In-Orbit Services,Debt Financing,350.0,,,,2026-02-12,"USA (Houston, TX)",1Q26,2026,"Commercial space station developer building the first private ISS module. $350M debt financing reflects the capital-intensive nature of space station construction. Competes with Vast, Sierra Space, and Blue Origin. Watch for ISS module launch timeline and NASA partnerships.",https://spacenews.com/axiom-space-350m-debt-facility/
Galaxea AI,Robotics,Humanoid & Service Robots,Series B,144.0,1400.0,Jinding Capital,"Hone Capital, Cathay Capital, Meituan Dragonball, Capital Today, Beijing Automotive Group, InnoVen Capital, Loyal Valley Capital",2026-02-12,China (Beijing),1Q26,2026,"Chinese humanoid robot company developing general-purpose embodied AI platforms. $144M Series B from Jinding Capital is among the larger Chinese humanoid raises. Competes with Galbot, Unitree, and Agibot in Chinese humanoid market; globally with Figure AI and Tesla (TSLA). Watch for mass production and enterprise deployment announcements.",https://www.caixinglobal.com/2026-02-12/galaxea-ai-raises-144-million-as-chinas-robot-investment-frenzy-mounts-102413767.html
iSpace,Space,Launch,Series D,730.0,,"Cowin Capital, Jingming Capital","Spring Partners, Chengdu Industry Group, Qianlima Capital",2026-02-12,China (Beijing),1Q26,2026,"Chinese commercial launch vehicle company developing reusable rockets. $730M Series D from Cowin Capital and Jingming Capital is the largest Chinese commercial launch raise. Competes with LandSpace, Galactic Energy, and SpaceX globally. Watch for orbital launch success and reuse demonstration.",https://spacenews.com/chinas-ispace-launch-firm-raises-record-729-million-for-reusable-rockets/
Stark,Robotics,Software & Simulation,Undisclosed,,1200.0,Founders Fund (Peter Thiel),"8VC, Doepfner Capital, In-Q-Tel, NATO Innovation Fund",2026-02-12,Germany (Berlin),1Q26,2026,Peter Thiel-backed AI infrastructure startup (highly stealth). Amount and details undisclosed; Founders Fund involvement suggests significant conviction. Watch for product reveal and market positioning clarity.,https://sifted.eu/articles/stark-unicorn-valuation-following-german-armed-forces-deal
ChipAgents,Semiconductors,EDA & IP,Series A,50.0,,Matter Venture Partners (TSMC-backed),"Bessemer Venture Partners, Micron, MediaTek, Ericsson",2026-02-18,"USA (Santa Clara, CA)",1Q26,2026,AI-powered chip design agents that automate semiconductor verification and design workflows. $50M Series A from Matter Venture Partners (TSMC-backed) is strong strategic validation. Competes with Synopsys (SNPS) and Cadence (CDNS) AI design tools. Watch for foundry customer adoption and design cycle time reduction benchmarks.,https://siliconangle.com/2026/02/18/chipagents-secures-50m-funding-accelerate-agentic-chip-design/
World Labs,Robotics,Software & Simulation,Undisclosed,1000.0,5000.0,"Autodesk ($200M), AMD, NVIDIA, Fidelity, Emerson Collective, Sea",,2026-02-18,"USA (San Francisco, CA)",1Q26,2026,"Spatial AI company building large 3D world models founded by Fei-Fei Li. $1B round with Autodesk ($200M), AMD, NVIDIA, Fidelity signals convergence of 3D vision and generative AI. Competes with NVIDIA (NVDA) Omniverse and Google in spatial computing. Watch for enterprise product launch and robotics applications.",https://www.bloomberg.com/news/articles/2026-02-18/ai-pioneer-fei-fei-li-s-startup-world-labs-raises-1-billion
Taalas,Semiconductors,Fabless Design,Other,169,,Quiet Capital,"Fidelity, Pierre Lamond",2026-02-19,Canada (Toronto),1Q26,2026,Develops model-specific AI inference chips (HC1) that hardwire AI model weights directly into silicon via TSMC. Claims 73x faster inference than Nvidia H200 at 1/10th the power.,https://siliconangle.com/2026/02/19/taalas-raises-169m-funding-develop-model-specific-ai-chips/
FieldAI,Robotics,Software & Simulation,Series A,314,,Multiple,,2026-02-20,USA,1Q26,2026,Embodied AI company building foundation models for robotic manipulation and navigation in unstructured environments.,https://fieldai.com
AI2 Robotics,Robotics,Humanoid & Service Robots,Series B,145.0,1400.0,,"Baidu, CRRC, Yusys Technologies, Sentury Tire, Guotai Haitong Securities",2026-02-23,China (Beijing),1Q26,2026,"Chinese humanoid robot company developing AI-powered general-purpose humanoid platforms. $145M Series B; lead investor undisclosed but likely state-linked Chinese VC. Competes with Unitree, Galbot, and Tesla (TSLA) Optimus. Watch for factory pilot programmes and government procurement.",https://www.therobotreport.com/ai2-robotics-raises-series-b-funding-advance-alphabot-embodied-ai/
Axelera AI,Semiconductors,Fabless Design,Series C,250.0,,Innovation Industries,"BlackRock, SiteGround Capital, Bitfury, CDP Venture Capital, EIC Fund, Samsung Catalyst Fund, Invest-NL",2026-02-24,Netherlands (Eindhoven),1Q26,2026,"Dutch AI edge computing chip company designing accelerators for computer vision and LLM inference. $250M Series C from Innovation Industries brings European sovereign-adjacent capital. Competes with Qualcomm (QCOM), Intel (INTC) Movidius, and Hailo in edge AI. Watch for automotive ADAS design wins and European chip sovereignty positioning.",https://www.bloomberg.com/news/articles/2026-02-24/blackrock-backs-dutch-chipmaker-axelera-ai-in-250-million-round
MatX,Semiconductors,Fabless Design,Series B,500.0,,"Jane Street, Situational Awareness (Leopold Aschenbrenner)","Spark Capital, Triatomic Capital, Harpoon Ventures, Andrej Karpathy, Patrick & John Collison (Stripe), Alchip, Marvell",2026-02-24,"USA (Mountain View, CA)",1Q26,2026,"Custom AI ASIC company building chips optimised for transformer training and inference. $500M Series B co-led by Jane Street and Leopold Aschenbrenner's Situational Awareness fund is notable — financial trading firm backing signals compute-hungry customer pull. Competes with NVIDIA (NVDA), Google (GOOGL) TPU, and Cerebras. Watch for first chip tapeout and hyperscaler adoption.",https://techcrunch.com/2026/02/24/nvidia-challenger-ai-chip-startup-matx-raised-500m/
SambaNova,Semiconductors,Fabless Design,Series E,350.0,,"Vista Equity Partners, Cambium Capital","Intel Capital (~$100-150M), Assam Ventures, Battery Ventures, Gulf Development, Mayfield Capital, Saudi First Data, Seligman Ventures, T. Rowe Price",2026-02-24,"USA (San Jose, CA)",1Q26,2026,"Full-stack AI platform company offering custom AI chips (SN40L) and software. $350M Series E from Vista Equity Partners extends SambaNova's enterprise AI platform play. Competes with NVIDIA (NVDA) DGX Cloud, Cerebras, and cloud providers. Watch for enterprise revenue trajectory and potential IPO path.",https://siliconangle.com/2026/02/24/sambanova-steps-challenge-nvidia-new-chip-350m-funding-powerful-ally-intel/
Spirit AI,Robotics,Humanoid & Service Robots,Series A,290.0,1400.0,"Chaos Investment, YF Capital (Yunfeng Capital)","HongShan, Synstellation Capital, TCL Capital, 360 Capital, HouXue Capital",2026-02-24,China (Beijing),1Q26,2026,"Chinese humanoid robot company focused on bipedal humanoid platforms for industrial applications. $290M Series A from Chaos Investment and YF Capital is very large for Series A humanoid. Competes with Unitree, Galbot, and XPEV robotics division. Third Chinese humanoid raise exceeding $100M in Q1 2026 — sector is in deployment-capital phase. Watch for factory deployment pilots and government contracts.",https://www.caixinglobal.com/2026-02-24/chinas-spirit-ai-valued-at-over-10-billion-yuan-after-two-funding-rounds-102416556.html
Wayve,Robotics,Autonomous Systems & Drones,Series D,1200.0,8600.0,"Eclipse, Balderton Capital, SoftBank Vision Fund 2","Microsoft, NVIDIA, Uber, Mercedes-Benz, Nissan, Stellantis, Ontario Teachers' Pension Plan, Baillie Gifford, British Business Bank",2026-02-24,UK (London),1Q26,2026,"London-based autonomous driving company using end-to-end learned driving for commercial vehicles. $1.2B Series D co-led by Eclipse, Balderton, and SoftBank is one of Europe's largest AV raises ever. Competes with Waymo (GOOGL), Tesla (TSLA) FSD, and Mobileye (MBLY) in AV. Watch for UK commercial launch and OEM platform licensing deals.",https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers/
OQ Technology,Space,Satellite Communications,Debt Financing,29.0,,European Investment Bank (InvestEU),,2026-02-25,Luxembourg,1Q26,2026,"Luxembourg-based 5G/IoT satellite operator using existing GEO satellites for narrowband IoT connectivity. $29M EIB debt financing (InvestEU guarantee) reflects European institutional support for space IoT. Competes with AST SpaceMobile (ASTS), Globalstar (GSAT), and Iridium (IRDM) in satellite IoT. Watch for 5G NTN standard adoption and fleet expansion.",https://payloadspace.com/oq-technology-lands-e25m-in-eib-venture-debt-financing/
Revel,Robotics,Autonomous Systems & Drones,Series B,150.0,1000.0,Index Ventures,"Redpoint Ventures, Thrive Capital, Felicis, Abstract Ventures",2026-02-26,"USA (Los Angeles, CA)",1Q26,2026,"AI-driven autonomous systems test and evaluation platform. $150M Series B from Index Ventures is strong for test & measurement in defence and autonomous systems. Competes with National Instruments (Emerson EMR), Keysight, and emerging simulation platforms. Watch for US DoD T&E contracts and autonomous vehicle certification partnerships.",https://finance.yahoo.com/news/revel-raises-150m-series-b-140000398.html
Sophia Space,Space,Satellite Communications,Seed,10.0,,"Alpha Funds, KDDI Green Partners Fund, Unlock Venture Partners",,2026-02-26,"USA (Pasadena, CA)",1Q26,2026,Develops satellite-based photovoltaic energy monitoring systems for solar farm optimisation. $10M seed from Alpha Funds and KDDI; sits at intersection of space and clean energy. Competes with traditional solar monitoring and emerging satellite analytics providers. Watch for utility-scale solar customer adoption and constellation deployment.,https://techcrunch.com/2026/02/26/sophia-space-raises-10m-seed-to-demo-novel-space-computers/
Nio GeniTech,Semiconductors,Fabless Design,Series A,330.0,1450.0,"IDG Capital, Nio Capital","Hefei State-Owned Capital, Hefei Haiheng, China Fortune-Tech Capital, Yuanhe Puhua",2026-02-26,China (Shanghai),1Q26,2026,EV maker NIO's semiconductor spinout developing automotive AI chips. $330M Series A from IDG Capital and NIO Capital is massive for Chinese automotive chip startup. Competes with Qualcomm (QCOM) in automotive SoCs and domestic Chinese chip designers (Horizon Robotics). Watch for first chip production at foundry partner and NIO vehicle integration.,https://cnevpost.com/2026/02/26/nio-confirms-chip-unit-funding/
Rapidus,Semiconductors,Foundry,Government investment,1700.0,,"Japan IPA (govt, 100B yen)","Canon, Fujitsu, NTT, SoftBank, Sony, Development Bank of Japan (32 private companies total, 167.6B yen)",2026-02-27,"Japan (Chitose, Hokkaido)",1Q26,2026,"Japan's flagship advanced semiconductor foundry aiming for 2nm production by 2027. $1.7B government investment (100B yen from IPA) is part of Japan's semiconductor sovereignty push. Competes with TSMC (TSM), Samsung, and Intel (INTC) in leading-edge foundry. Watch for IBM technology transfer milestones and first customer announcements.",https://www.japantimes.co.jp/business/2026/02/27/companies/rapidus-new-investment/
Sierra Space,Space,In-Orbit Services,Series C,550.0,8000.0,LuminArx Capital Management,,2026-03-03,"USA (Louisville, CO)",1Q26,2026,"Defence-tech space company building satellites, the Dream Chaser spaceplane, and space infrastructure. $550M Series C led by LuminArx Capital at $8B valuation; pivoting from commercial to national security focus. Competes with Lockheed Martin, Northrop Grumman, and SpaceX in defence space. Watch for Dream Chaser demo flight (late 2026) and SDA satellite programme execution.",https://spacenews.com/sierra-space-550m-series-c/
Ayar Labs,Semiconductors,Fabless Design,Series E,500.0,3750.0,Neuberger Berman,,2026-03-03,"USA (San Jose, CA)",1Q26,2026,"Co-packaged optics (CPO) pioneer developing silicon photonic chiplets for AI data centre interconnect. $500M Series E led by Neuberger Berman at $3.75B valuation; total raised $870M. Strategic backing from AMD (AMD), NVIDIA (NVDA), and MediaTek validates CPO for AI scale-up. Competes with Broadcom (AVGO), Intel (INTC) Silicon Photonics, and Lightmatter. Watch for volume production ramp at TSMC (TSM) and hyperscaler deployment milestones.",https://ayarlabs.com/news/series-e
Vast,Space,In-Orbit Services,Series A,500.0,,Balerion Space Ventures,,2026-03-03,"USA (Long Beach, CA)",1Q26,2026,"Commercial space station developer building Haven-1 (launching 2026) and multi-module Haven-2 as ISS successor. $500M ($300M equity + $200M debt) led by Balerion Space Ventures; first external funding after founder Jed McCaleb self-funded. QIA, IQT, Mitsui, and Nikon participating signals international and strategic conviction. Competes with Axiom Space, Sierra Space, and Blue Origin. Watch for Haven-1 launch, NASA PAM-6 mission, and CLD Phase 2 competition.",https://spacenews.com/vast-500m-series-a/
Neura Robotics,Robotics,Humanoid & Service Robots,Undisclosed,1200.0,4600.0,Tether Holdings,,2026-03-04,Germany (Metzingen),1Q26,2026,"German cognitive robotics company developing humanoid and collaborative robots with onboard AI. ~$1.2B (€1B) round backed by Tether Holdings at ~€4B valuation; follows €120M Series B in Jan-25. Competes with Figure AI, 1X, Apptronik, and Tesla (TSLA) Optimus. Tether involvement is unusual — crypto capital entering physical robotics. Customers include Kawasaki and Omron. Watch for MiPA consumer robot launch and Schaeffler actuator partnership scaling.",https://www.therobotreport.com/neura-robotics-1-2b-funding/
PLD Space,Space,Launch,Series C,209.0,,,,2026-03-04,Spain (Elche),1Q26,2026,"Spanish launch vehicle company developing the MIURA 5 small launcher. €209M Series C positions PLD for first orbital launch attempt. Competes with Rocket Lab (RKLB), Isar Aerospace, and RFA in small launch. Watch for MIURA 5 first flight and ESA launch service contracts. Largest European commercial launch startup raise to date.",https://spacenews.com/pld-space-209m-series-c/
Elementium Materials,Materials,Rare Earths & Critical Minerals,Seed,11.0,,,,2026-03-06,USA,1Q26,2026,"US startup focused on critical mineral extraction and processing technologies. $11M seed; lead investor undisclosed. Competes with MP Materials (MP), Lynas (LYC AU), and other rare earth processors. Watch for pilot plant results and government grant awards under critical minerals programmes.",https://elementium.com/news/seed
Nscale,Semiconductors,Frontier Compute,Series C,2000.0,14600.0,"Aker ASA, 8090 Industries",,2026-03-09,UK (London),1Q26,2026,"UK-based AI infrastructure hyperscaler building vertically integrated GPU compute and data centres. $2B Series C co-led by Aker ASA and 8090 Industries at $14.6B valuation — largest European Series C ever. NVIDIA (NVDA), Dell, Nokia among investors. Competes with CoreWeave, Lambda, and US hyperscalers in AI compute. Valuation jumped >4x from Series B in 6 months. Watch for IPO (flagged for 2026), Stargate Norway/UK deployments, and Microsoft partnership execution.",https://nscale.com/news/series-c
Eridu,Semiconductors,Fabless Design,Series A,200.0,,,,2026-03-10,USA,1Q26,2026,"US semiconductor startup (details limited, likely fabless AI chip or advanced packaging play). $200M Series A is exceptionally large — suggests strong technology differentiation. Lead investor undisclosed. Watch for product and team disclosure.",https://eridu.ai/news/series-a
Rhoda AI,Robotics,Software & Simulation,Undisclosed,450.0,,,,2026-03-10,USA,1Q26,2026,"AI-powered robotics software company (stealth mode). $450M at undisclosed round stage is massive for a stealth robotics company. Lead undisclosed. Competes in the foundation-model-for-robots space alongside Physical Intelligence, Skild AI, and Google DeepMind. Watch for product reveal.",https://www.therobotreport.com/rhoda-ai-450m/
Orqa,Robotics,Autonomous Systems & Drones,Series A,14.0,,,,2026-03-10,Croatia (Osijek),1Q26,2026,Croatian FPV drone and smart goggle company expanding from consumer/racing into defence markets. $14M Series A; lead undisclosed but likely European defence-tech investors. Competes with DJI in consumer FPV and emerging defence FPV drone makers. Watch for NATO procurement and defence product line expansion.,https://eu-startups.com/2026/03/orqa-series-a/
Nexthop AI,Semiconductors,Fabless Design,Series B,500.0,4200.0,Lightspeed Venture Partners,"Andreessen Horowitz, Altimeter",2026-03-10,"USA (Santa Clara, CA)",1Q26,2026,"Designs AI networking chips for next-generation data centre interconnect. $500M Series B from Lightspeed Venture Partners is one of the largest networking chip raises. Competes with Broadcom (AVGO), Marvell (MRVL), and NVIDIA (NVDA) networking division. Watch for first chip sampling and hyperscaler design wins.",https://www.businesswire.com/news/home/20260310574112/en/Nexthop-AI-Accelerates-Into-Hypergrowth
Mind Robotics,Robotics,Humanoid & Service Robots,Series A,500.0,,,,2026-03-11,China,1Q26,2026,"Chinese humanoid robot company developing general-purpose bipedal robots. $500M Series A is extraordinarily large — reflects intense Chinese competition in humanoid robotics. Lead investor undisclosed but likely state-linked. Competes with Unitree, Galbot, Figure AI, and Tesla (TSLA) Optimus. Watch for mass production timeline and key enterprise partnerships.",https://www.therobotreport.com/mind-robotics-500m-series-a/
Sunday,Robotics,Collaborative Robots,Series B,165.0,,,,2026-03-12,Thailand (Bangkok),1Q26,2026,Thai collaborative robot company developing robotic solutions for agriculture and outdoor applications. $165M Series B is remarkably large for Southeast Asian robotics — among the biggest in ASEAN history. Lead undisclosed. Competes with Universal Robots (Teradyne TER) and local automation integrators. Watch for agricultural deployment scale and ASEAN market expansion.,https://techcrunch.com/2026/03/12/sunday-raises-165m-series-b/
Xscape Photonics,Semiconductors,Fabless Design,Series A (extension),37.0,,,,2026-03-12,USA,1Q26,2026,"Silicon photonics startup developing integrated optical components for data centre and telecom applications. $37M Series A extension; lead undisclosed. Competes with Ayar Labs, Intel (INTC) Silicon Photonics, and Cisco. Watch for product sampling and customer design-ins.",https://xscapephotonics.com/news/series-a-extension
